station id,name,lon,lat
hub_3828,Eugene Family YMCA,-123.0834925174713,44.037538577767066
hub_3829,Monroe St & Blair Blvd ,-123.1051379442215,44.05147311432253
hub_3830,10th & Olive SE,-123.09408053755762,44.04865938324877
hub_3831,16th & Willamette,-123.09293121099473,44.042189210160124
hub_3832,13th & Pearl @ Pearl side,-123.08966428041457,44.04526340167279
hub_3840,PeaceHealth University District,-123.08160960674286,44.04757122994916
hub_3841,Eugene Train Station,-123.09282191097736,44.055251735667646
hub_3842,5th & Pearl @ NW corner,-123.08976955711842,44.05454842042403
hub_3843,Broadway & High,-123.08788329362869,44.04996945423723
hub_3844,12th & Willamette,-123.09284269809721,44.0465281215093
hub_3845,17th & Pearl @ East side,-123.08943897485733,44.04116058804379
hub_3846,6th & Willamette,-123.09273071587084,44.05319724045283
hub_3847,Broadway & Willamette,-123.09269249439241,44.049648355184594
hub_3848,8th & Lincoln,-123.09671849012375,44.05101816487349
hub_3849,8th & Ferry,-123.08485507965088,44.051059491226184
hub_3850,3rd & Lawrence,-123.09909760951997,44.05649166557127
hub_3851,4th & Blair,-123.1096225976944,44.055547383937295
hub_3852,6th & Monroe,-123.10482144355774,44.05343251441227
hub_3853,Skinner Butte Park,-123.09472024440765,44.06046620561937
hub_3854,2nd & Madison,-123.10357958078384,44.057564475529176
hub_3855,17th & Hilyard,-123.08197975158691,44.041092683410966
hub_3856,15th & Ferry,-123.08513939380646,44.04349062773276
hub_3857,Erb Memorial Union,-123.0732625722885,44.04541582978656
hub_3858,Knight Law Center,-123.06949675083159,44.042916320259415
hub_3859,HEDCO Education Building,-123.078393638134,44.04193277932616
hub_3860,13th & Kincaid,-123.07852774858475,44.0458388911049
hub_3861,15th & University,-123.07459026575087,44.04308821556715
hub_3862,1600 Millrace Drive,-123.06872829794884,44.04827532079247
hub_3863,Franklin Blvd & Walnut South,-123.0615171790123,44.04441027891097
hub_3864,17th & Moss,-123.06658923625946,44.04107051045264
hub_3865,Matthew Knight Arena,-123.06535005569458,44.04543402475082
hub_3866,2nd & High,-123.08746218681335,44.057650130834716
hub_3867,10th & Pearl,-123.08936521410942,44.04886523969389
hub_3868,5th & Lincoln,-123.09702828526497,44.0543211688103
hub_3869,13th & Lawrence,-123.09837609529495,44.045392694456055
hub_3875,PeaceHealth RiverBend,-123.02718758583069,44.081821535991445
hub_5406,Lane Events Center,-123.10408651828766,44.04539847829389
hub_5407,Amazon Pool,-123.08181077241898,44.030216333669586
hub_5408,19th and Agate,-123.06958258152008,44.03914046726878
hub_5415,Valley River,-123.1036627292633,44.06526344003878
hub_5505,Autzen Footbridge,-123.07076543569563,44.04999632286441
hub_5512,RiverBend Annex,-123.03010582923889,44.087756492658976
hub_5551,Heartfelt House,-123.02898466587065,44.08423462945582
hub_5737,Franklin Blvd and Walnut North,-123.0613911151886,44.04526108806491
hub_5829,13th & Pearl @ 13th side,-123.08931961655615,44.045488007091244
hub_5831,17th & Pearl @ West side,-123.09005722403526,44.04106900414043
hub_5832,5th & Pearl @ SE corner,-123.08942824602128,44.0542758689629
hub_5833,10th & Olive NE,-123.09423811733723,44.04900184424529
hub_5835,Erb Memorial Union overflow,-123.07240828871727,44.04517622208306
hub_5839,Straub Hall (Virtual Hub),-123.07334706187248,44.04408676383619
hub_5840,13th & Agate (Virtual Hub),-123.06950613856317,44.045401249734425
hub_5847,Joey's Bike Garage (Virtual Hub),-123.07005196809769,44.057151978790955
hub_5848,Eden's Bike Garage (Virtual Hub),-123.06550830602646,44.056969493048626
hub_5849,Knight Library (Virtual Hub),-123.0785183608532,44.04347574594112
hub_5850,Columbia Hall (Virtual Hub),-123.07452052831651,44.04579358476944
hub_5851,Oregon Plaza (Virtual Hub),-123.06771308183671,44.04434087177298
hub_5853,Woodfield Station East (Virtual Hub),-123.09188112616539,44.02757280971951
hub_5854,Woodfield Station West (Virtual Hub),-123.09356823559482,44.027414944570296
hub_5855,Amazon LTD Station (Virtual Hub),-123.08424219489096,44.02654779097534
hub_5856,Civic Park (Virtual Hub),-123.09046894303718,44.037125262207454
