Business Name,Address,City,State,Zip Code,Longitude,Latitude
Eugene Vineyard Church,1145 Willagillespie Rd,Eugene,OR,97402,-123.1020824,44.0719474
Jenny's Hair and Company,95 E 25th Ave,Eugene,OR,97405,-123.091991,44.0315032
Pony House Inn Suites & Cottages,660 C St.,Springfield,OR,97477,-123.0192809,44.0490104
Velo Bed and Breakfast,86211 Bailey Hill Road,Eugene,OR,97405,-123.1710371,44.0016729
Bob Keefer Center for Sports and Recreation,250 S 32nd St.,Springfield,OR,97478,-122.984508,44.0419055
"Eugene, Cascades & Coast Visitor Center - Travel Lane County",754 Olive Street,Eugene,OR,97401,-123.0966627,44.0514688
Fox Springs Farm,28810 Fox Hollow Rd,Eugene,OR,97405,-123.205838,43.9372411
McKenzie River Lavender,40882 McKenzie Hwy.,Springfield,OR,97478,-122.7515847,44.0797518
Eugene Whiteaker International Hostel,970 W 3rd Avenue,Eugene,OR,97402,-123.1095967,44.0562368
Marina's Art Studio,2650 Willamette St.,Eugene,OR,97405,-123.0932193,44.0294294
Hutch's - Eugene,960 Charnelton St.,Eugene,OR,97401,-123.0983495,44.049264
Hutch's - Springfield,2100 Main St.,Springfield,OR,97477,-122.9964587,44.0460575
Len's Bikes,156 S 20th St. Unit C,Springfield,OR,97477,-122.9981135,44.0453903
Johnson Brothers Greenhouses,91444 Coburg Rd,Eugene,OR,97408,-123.0931468,44.1448203
Coburg Pizza Company,1710 Centennial Blvd.,Springfield,OR,97477,-123.0013822,44.0564746
Off The Waffle - South Eugene,2540 Willamette St.,Eugene,OR,97405,-123.0934213,44.0308933
Claim 52 Brewing - Brewery & Taproom,"1030 Tyinn Street, Suite 1",Eugene,OR,97042,-123.1402729,44.0490418
Falling Sky Pour House & Delicatessen,790 Blair Blvd,Eugene,OR,97402,-123.1076197,44.0510678
Plank Town Brewing Company,346 Main St.,Springfield,OR,97477,-123.0231787,44.0463897
Sam Bond's Brewing Company,540 E 8th Ave,Eugene,OR,97401,-123.0869063,44.0507577
